price,available,advertisers_qty,type,timestamp,curr_from,curr_to,source
6.5,100.0,1,BUY,1729356308,BOB,USDT,binance
6.5,100.0,1,BUY,1729365179,BOB,USDT,binance
6.5,100.0,1,BUY,1729382603,BOB,USDT,binance
6.5,100.0,1,BUY,1729430440,BOB,USDT,binance
6.5,100.0,1,BUY,1729466298,BOB,USDT,binance
6.5,100.0,1,BUY,1729480154,BOB,USDT,binance
6.5,100.0,1,BUY,1729520858,BOB,USDT,binance
6.5,100.0,1,BUY,1729551792,BOB,USDT,binance
6.5,100.0,1,BUY,1729558082,BOB,USDT,binance
6.5,100.0,1,BUY,1729571854,BOB,USDT,binance
6.5,100.0,1,BUY,1729572353,BOB,USDT,binance
6.5,100.0,1,BUY,1729577699,BOB,USDT,binance
6.5,100.0,1,BUY,1729599561,BOB,USDT,binance
6.5,100.0,1,BUY,1729620840,BOB,USDT,binance
6.5,100.0,1,BUY,1729644418,BOB,USDT,binance
6.5,100.0,1,BUY,1729664098,BOB,USDT,binance
6.5,100.0,1,BUY,1729685950,BOB,USDT,binance
6.5,100.0,1,BUY,1729730794,BOB,USDT,binance
6.5,100.0,1,BUY,1729743955,BOB,USDT,binance
6.5,100.0,1,BUY,1729758460,BOB,USDT,binance
6.5,100.0,1,BUY,1729773705,BOB,USDT,binance
6.5,100.0,1,BUY,1729787134,BOB,USDT,binance
6.5,100.0,1,BUY,1729801396,BOB,USDT,binance
6.5,100.0,1,BUY,1729820549,BOB,USDT,binance
6.5,100.0,1,BUY,1729830447,BOB,USDT,binance
6.5,100.0,1,BUY,1729844838,BOB,USDT,binance
6.5,100.0,1,BUY,1729860080,BOB,USDT,binance
6.5,100.0,1,BUY,1729873608,BOB,USDT,binance
6.5,100.0,1,BUY,1729887822,BOB,USDT,binance
6.5,100.0,1,BUY,1729906742,BOB,USDT,binance
6.5,100.0,1,BUY,1729916754,BOB,USDT,binance
6.5,100.0,1,BUY,1729931080,BOB,USDT,binance
6.5,100.0,1,BUY,1729946307,BOB,USDT,binance
6.5,100.0,1,BUY,1729959873,BOB,USDT,binance
